みぎ 右 right
ひだり 左 left
まえ 前 front
うしろ 後ろ back
なか 中 inside-middle
うえ 上 up-above
した 下 under
ちかく 近く near
となり 隣 next
あいだ 間 between
びょういん 病院 hospital
レストラン - restaurant
ゆうびんきょく 郵便局 postoffice
びょういん 病院 hospital
きっさてん 喫茶店 coffeshop
だいがく 大学 university
バスてい - busstop
こうえん 公園 park
としょかん 図書館 library
でんわ 電話 phone
てがみ 手紙 letter
とけい 時計 clock
かさ 傘 umbrela
